,案號,酒駕前案紀錄
291,"KSDM,108,交簡,58,20190116,1",1
292,"KSDM,108,交簡,59,20190130,1",4
293,"KSDM,108,交簡,60,20190130,1",1
294,"KSDM,108,交簡,61,20190121,1",0
295,"KSDM,108,交簡,62,20190128,1",2
296,"KSDM,108,交簡,63,20190110,1",0
297,"KSDM,108,交簡,64,20190131,1",2
298,"KSDM,108,交簡,65,20190110,1",1
299,"KSDM,108,交簡,67,20190123,1",1
300,"KSDM,108,交簡,69,20190131,1",2
301,"KSDM,108,交簡,72,20190125,1",2
302,"KSDM,108,交簡,78,20190110,1",1
303,"KSDM,108,交簡,8,20190130,1",0
304,"KSDM,108,交簡,81,20190131,1",0
305,"KSDM,108,交簡,83,20190131,1",1
306,"KSDM,108,交簡,85,20190110,1",2
307,"KSDM,108,交簡,92,20190125,1",1
308,"KSDM,108,交簡,94,20190131,1",1
309,"KSDM,108,交簡,95,20190131,1",1
310,"KSDM,108,交簡,98,20190125,1",0
311,"MKEM,107,馬交簡,144,20190109,1",1
312,"MKEM,107,馬交簡,149,20190109,1",3
313,"MLDM,107,苗交簡,1235,20190103,1",1
314,"MLDM,107,苗交簡,1267,20190107,1",1
315,"MLDM,107,苗交簡,1268,20190111,1",0
316,"MLDM,108,苗交簡,2,20190116,1",1
317,"MLDM,108,苗交簡,33,20190124,1",0
318,"MLDM,108,苗交簡,46,20190124,1",2
319,"MLDM,108,苗交簡,65,20190131,1",0
320,"MLDM,108,苗交簡,66,20190131,1",1
321,"NTDM,107,埔交簡,181,20190111,1",0
322,"NTDM,107,埔交簡,182,20190125,1",0
323,"NTDM,107,投交簡,517,20190123,1",0
324,"NTDM,107,投交簡,521,20190107,1",1
325,"NTDM,107,投交簡,524,20190107,1",0
326,"NTDM,107,投交簡,543,20190129,1",0
327,"NTDM,107,投交簡,556,20190111,1",0
328,"NTDM,107,投交簡,560,20190111,1",0
329,"NTDM,107,投交簡,565,20190107,1",0
330,"NTDM,107,投交簡,574,20190107,1",1
331,"PCDM,107,審交簡,405,20190110,1",1
332,"PCDM,107,審交簡,437,20190124,1",2
333,"PCDM,108,交簡,73,20190118,1",2
334,"PCDM,108,交簡,90,20190119,1",1
335,"PTDM,107,交簡,2503,20190119,1",0
336,"PTDM,107,交簡,2520,20190121,1",2
337,"PTDM,107,交簡,2524,20190125,1",1
338,"PTDM,107,交簡,2529,20190128,1",0
339,"PTDM,107,交簡,2573,20190128,1",1
340,"PTDM,107,交簡,2579,20190128,1",1
341,"PTDM,107,交簡,2581,20190128,1",1
342,"PTDM,107,交簡,2709,20190115,1",0
343,"PTDM,107,交簡,2791,20190117,1",0
344,"PTDM,107,交簡,2797,20190102,1",1
345,"PTDM,107,交簡,2800,20190102,1",1
346,"PTDM,107,交簡,2805,20190102,1",1
347,"PTDM,107,交簡,2807,20190108,1",1
348,"PTDM,107,交簡,2808,20190108,1",0
349,"PTDM,107,交簡,2824,20190131,1",0
350,"PTDM,107,交簡,2829,20190117,1",0
351,"PTDM,107,交簡,2835,20190122,1",1
352,"PTDM,107,交簡,2839,20190108,1",1
353,"PTDM,107,交簡,2841,20190122,1",1
354,"PTDM,107,交簡,2847,20190117,1",1
355,"PTDM,107,交簡,2848,20190115,1",1
356,"PTDM,107,交簡,2850,20190128,1",1
357,"PTDM,107,交簡,2854,20190129,1",1
358,"PTDM,107,交簡,2869,20190131,1",2
359,"PTDM,107,交簡,2875,20190121,1",1
360,"PTDM,107,交簡,2876,20190122,1",1
361,"PTDM,107,交簡,2879,20190108,1",1
362,"PTDM,107,交簡,2880,20190116,1",1
363,"PTDM,107,交簡,2883,20190129,1",1
364,"PTDM,107,交簡,2884,20190108,1",1
365,"PTDM,107,交簡,2887,20190102,1",1
366,"PTDM,107,交簡,2888,20190119,1",1
367,"PTDM,107,交簡,2889,20190128,1",1
368,"PTDM,107,交簡,2892,20190115,1",1
369,"PTDM,107,交簡,2894,20190115,1",1
370,"PTDM,107,交簡,2898,20190129,1",1
371,"PTDM,107,交簡,2902,20190131,1",0
372,"PTDM,107,交簡,2912,20190123,1",1
373,"PTDM,107,交簡,2920,20190122,1",0
374,"PTDM,107,交簡,2921,20190117,1",1
375,"PTDM,107,交簡,2922,20190129,1",0
376,"PTDM,107,交簡,2925,20190122,1",1
377,"PTDM,107,交簡,2926,20190102,1",1
378,"PTDM,107,交簡,2927,20190117,1",1
379,"PTDM,107,交簡,2929,20190129,1",2
380,"PTDM,107,交簡,2930,20190121,1",1
381,"PTDM,107,交簡,2936,20190119,1",0
382,"PTDM,107,交簡,2938,20190117,1",1
383,"PTDM,107,軍交簡,2,20190123,1",1
384,"PTDM,108,交簡,102,20190131,1",0
385,"PTDM,108,交簡,103,20190124,1",0
386,"PTDM,108,交簡,107,20190121,1",1
387,"PTDM,108,交簡,108,20190122,1",0
388,"PTDM,108,交簡,110,20190123,1",0
389,"PTDM,108,交簡,120,20190119,1",1
390,"PTDM,108,交簡,128,20190130,1",2
391,"PTDM,108,交簡,139,20190121,1",0
392,"PTDM,108,交簡,14,20190110,1",0
393,"PTDM,108,交簡,145,20190123,1",1
394,"PTDM,108,交簡,149,20190131,1",1
395,"PTDM,108,交簡,15,20190107,1",1
396,"PTDM,108,交簡,152,20190122,1",1
397,"PTDM,108,交簡,155,20190129,1",1
398,"PTDM,108,交簡,156,20190131,1",0
399,"PTDM,108,交簡,157,20190128,1",1
400,"PTDM,108,交簡,16,20190122,1",1
401,"PTDM,108,交簡,169,20190123,1",1
402,"PTDM,108,交簡,177,20190131,1",0
403,"PTDM,108,交簡,180,20190130,1",3
404,"PTDM,108,交簡,182,20190131,1",1
405,"PTDM,108,交簡,195,20190125,1",1
406,"PTDM,108,交簡,196,20190129,1",2
407,"PTDM,108,交簡,197,20190131,1",1
408,"PTDM,108,交簡,20,20190131,1",2
409,"PTDM,108,交簡,203,20190124,1",0
410,"PTDM,108,交簡,208,20190129,1",1
